NOME;SOBRENOME;PROPOSTAS;PARTIDO
 Geraldo; Alckmin;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000602477//proposta_1533849607885.pdf;PSDB
 Jair;Bolsonaro;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000614517//proposta_1534284632231.pdf;PSL
 Guilherme;Boulos;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000601016//proposta_1533565462424.pdf;PSOL
 Cabo; Daciolo;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000602500//proposta_1533774159360.pdf;PATRIOTA
Ciro;Gomes;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000605589//proposta_1533938913830.pdf;PDT
Lula;Inácio;https://lula.com.br/wp-content/uploads/2018/08/Plano-Lula-de-Governo_2018.08.14-TEXTO-REGISTRADO-3-1.pdf;PT
João ;Amoêdo;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000607640//proposta_1534522080782.pdf;NOVO
Marina; Silva;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000622171//proposta_1534349620464.pdf;REDE
Henrique; Meireles;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000622281//proposta_1534354939646.pdf;MDB
Álvaro;Dias ;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000618462//proposta_1534304719669.pdf;PODEMOS
José Maria;Eymael ;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000624085//proposta_1534349291803.pdf;DEMOCRACIA CRISTÃ
João ;Goulart Filho;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000624082//proposta_1534349279487.pdf;PPL
Vera ;Lúcia;http://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000601173//proposta_1533576953009.pdf;PSTU
